dataset,fold,method,objective,depth,splits,leaves,cpu_time,nb_cells,nb_subproblems,nb_recursive_calls,rf_acc,ba_acc,rf_ba_agreement
Pima-Diabetes,10,beam,7,12,44,45,0.027946,1296,0.0,0.0,0.8026315789473685,0.6052631578947368,0.7236842105263158
Seeds,1,dp,1,8,49,50,0.028263,1296,98246.0,463145.0,0.8571428571428571,0.9523809523809523,0.9047619047619048
Seeds,1,greedy,6,10,69,70,0.002359,1296,0.0,0.0,0.8571428571428571,0.9523809523809523,0.9047619047619048
Seeds,1,beam,7,12,109,110,0.111234,1296,0.0,0.0,0.8571428571428571,1.0,0.8571428571428571
Seeds,2,dp,1,9,33,34,0.059159,1440,132284.0,631017.0,0.6190476190476191,0.6666666666666666,0.9523809523809523
Seeds,2,greedy,6,9,51,52,0.002059,1440,0.0,0.0,0.6190476190476191,0.6666666666666666,0.9523809523809523
Seeds,2,beam,7,11,69,70,0.062926,1440,0.0,0.0,0.6190476190476191,1.0,0.6190476190476191
Seeds,3,dp,1,8,30,31,0.022306,864,56516.0,299815.0,0.7619047619047619,0.7619047619047619,1.0
Seeds,3,greedy,6,9,32,33,0.000991,864,0.0,0.0,0.7619047619047619,0.7619047619047619,1.0
Seeds,3,beam,7,10,38,39,0.024797,864,0.0,0.0,0.7619047619047619,1.0,0.7619047619047619
Seeds,4,dp,1,7,11,12,0.000897,144,2769.0,11865.0,0.8571428571428571,0.8571428571428571,1.0
Seeds,4,greedy,6,8,19,20,0.000328,144,0.0,0.0,0.8571428571428571,0.8571428571428571,1.0
Seeds,4,beam,7,8,20,21,0.003727,144,0.0,0.0,0.8571428571428571,0.3333333333333333,0.2857142857142857
Seeds,5,dp,1,10,55,56,0.059474,1296,107706.0,552725.0,0.9523809523809523,0.9523809523809523,1.0
Seeds,5,greedy,6,10,58,59,0.002513,1296,0.0,0.0,0.9523809523809523,0.9523809523809523,1.0
Seeds,5,beam,7,11,81,82,0.068644,1296,0.0,0.0,0.9523809523809523,0.0,0.047619047619047616
Seeds,6,dp,1,12,69,70,0.041771,1152,100563.0,583871.0,0.8571428571428571,0.9523809523809523,0.9047619047619048
Seeds,6,greedy,6,12,81,82,0.002836,1152,0.0,0.0,0.8571428571428571,0.9523809523809523,0.9047619047619048
Seeds,6,beam,7,11,102,103,0.1273,1152,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285
Seeds,7,dp,1,8,37,38,0.038896,1152,88021.0,410865.0,0.5238095238095238,0.47619047619047616,0.9523809523809523
Seeds,7,greedy,6,10,43,44,0.000945,1152,0.0,0.0,0.5238095238095238,0.47619047619047616,0.9523809523809523
Seeds,7,beam,7,10,58,59,0.044459,1152,0.0,0.0,0.5238095238095238,0.0,0.47619047619047616
Seeds,8,dp,1,9,35,36,0.037969,1152,95219.0,528859.0,0.9523809523809523,0.9523809523809523,1.0
Seeds,8,greedy,6,11,50,51,0.000915,1152,0.0,0.0,0.9523809523809523,0.9523809523809523,1.0
Seeds,8,beam,7,13,77,78,0.063167,1152,0.0,0.0,0.9523809523809523,0.0,0.047619047619047616
Seeds,9,dp,1,6,15,16,0.00493,432,18601.0,96225.0,1.0,1.0,1.0
Seeds,9,greedy,6,6,15,16,0.000659,432,0.0,0.0,1.0,1.0,1.0
Seeds,9,beam,7,8,18,19,0.003852,432,0.0,0.0,1.0,0.0,0.0
Seeds,10,dp,1,6,12,13,0.002457,324,11203.0,53417.0,0.42857142857142855,0.3333333333333333,0.9047619047619048
Seeds,10,greedy,6,7,17,18,0.00043,324,0.0,0.0,0.42857142857142855,0.3333333333333333,0.9047619047619048
Seeds,10,beam,7,6,13,14,0.003041,324,0.0,0.0,0.42857142857142855,0.0,0.5714285714285714
